Iteration, Id, Score, OutcomeScore, AvgScore, CountInvalid, CountLost, CountTied, CountWon
1, 12, 23.96, 28, -4.04, 144, 56, 0, 0
2, 30, 25.76, 29.5, -3.74, 141, 59, 0, 0
3, 44, 33.85, 36.5, -2.65, 127, 73, 0, 0
4, 44, 33.85, 36.5, -2.65, 127, 73, 0, 0
5, 44, 33.85, 36.5, -2.65, 127, 73, 0, 0
6, 98, 39.79, 42, -2.21, 116, 84, 0, 0
7, 98, 39.79, 42, -2.21, 116, 84, 0, 0
8, 141, 43.93, 46, -2.07, 108, 92, 0, 0
9, 162, 44.87, 46.51, -1.64, 107, 91, 2, 0
10, 162, 44.87, 46.51, -1.64, 107, 91, 2, 0
11, 188, 51.535, 52.325, -0.79, 96, 93, 5, 6
12, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
13, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
14, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
15, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
16, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
17, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
18, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
19, 204, 55.2, 56.015, -0.815, 88, 109, 3, 0
20, 355, 55.34, 56.5, -1.16, 87, 113, 0, 0
21, 355, 55.34, 56.5, -1.16, 87, 113, 0, 0
22, 355, 55.34, 56.5, -1.16, 87, 113, 0, 0
23, 355, 55.34, 56.5, -1.16, 87, 113, 0, 0
24, 428, 60.81, 61, -0.19, 78, 122, 0, 0
25, 428, 60.81, 61, -0.19, 78, 122, 0, 0
26, 428, 60.81, 61, -0.19, 78, 122, 0, 0
27, 428, 60.81, 61, -0.19, 78, 122, 0, 0
28, 428, 60.81, 61, -0.19, 78, 122, 0, 0
29, 428, 60.81, 61, -0.19, 78, 122, 0, 0
30, 428, 60.81, 61, -0.19, 78, 122, 0, 0
31, 428, 60.81, 61, -0.19, 78, 122, 0, 0
32, 428, 60.81, 61, -0.19, 78, 122, 0, 0
33, 428, 60.81, 61, -0.19, 78, 122, 0, 0
34, 428, 60.81, 61, -0.19, 78, 122, 0, 0
35, 428, 60.81, 61, -0.19, 78, 122, 0, 0
36, 428, 60.81, 61, -0.19, 78, 122, 0, 0
37, 428, 60.81, 61, -0.19, 78, 122, 0, 0
38, 428, 60.81, 61, -0.19, 78, 122, 0, 0
39, 428, 60.81, 61, -0.19, 78, 122, 0, 0
40, 428, 60.81, 61, -0.19, 78, 122, 0, 0
41, 428, 60.81, 61, -0.19, 78, 122, 0, 0
42, 428, 60.81, 61, -0.19, 78, 122, 0, 0
43, 428, 60.81, 61, -0.19, 78, 122, 0, 0
44, 428, 60.81, 61, -0.19, 78, 122, 0, 0
45, 428, 60.81, 61, -0.19, 78, 122, 0, 0
46, 428, 60.81, 61, -0.19, 78, 122, 0, 0
47, 428, 60.81, 61, -0.19, 78, 122, 0, 0
48, 850, 67.78, 66.95, 0.83, 67, 124, 0, 9
49, 850, 67.78, 66.95, 0.83, 67, 124, 0, 9
50, 850, 67.78, 66.95, 0.83, 67, 124, 0, 9
51, 850, 67.78, 66.95, 0.83, 67, 124, 0, 9
52, 850, 67.78, 66.95, 0.83, 67, 124, 0, 9
53, 850, 67.78, 66.95, 0.83, 67, 124, 0, 9
54, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
55, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
56, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
57, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
58, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
59, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
60, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
61, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
62, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
63, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
64, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
65, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
66, 966, 68.79, 68.1, 0.69, 64, 134, 0, 2
67, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
68, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
69, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
70, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
71, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
72, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
73, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
74, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
75, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
76, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
77, 1200, 71.075, 70, 1.075, 60, 140, 0, 0
78, 1403, 74.75, 73.5, 1.25, 53, 147, 0, 0
79, 1403, 74.75, 73.5, 1.25, 53, 147, 0, 0
80, 1403, 74.75, 73.5, 1.25, 53, 147, 0, 0
81, 1403, 74.75, 73.5, 1.25, 53, 147, 0, 0
82, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
83, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
84, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
85, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
86, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
87, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
88, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
89, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
90, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
91, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
92, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
93, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
94, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
95, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
96, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
97, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
98, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
99, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
100, 1468, 75.34, 74, 1.34, 52, 148, 0, 0
